Bond_1,Bond_2,Last,Avg,vs Avg,Z Score,Percentile,cusip_1,cusip_2
RCICN 5.7 09/21/28,BCECN 4.55 02/09/30,-5.162911359999995,-10.781343430108109,5.618432070108113,3.0268599488228802,100.0,775109CV1,07813ZCL6
ATH 2.47 06/09/28,MFCCN 5.409 03/10/33,7.701151150000001,-1.9047651375135135,9.605916287513514,2.8876609738184045,100.0,BP9499446,56501RAQ9
ATH 2.47 06/09/28,MFCCN 5.409 03/10/33,7.701151150000001,-1.9047651375135135,9.605916287513514,2.8876609738184045,100.0,C04575AE3,56501RAQ9
ATH 2.47 06/09/28,TD 5.491 09/08/28,28.271299570000004,15.672039139405408,12.599260430594596,2.766839123367991,100.0,BP9499446,89117GX51
ATH 2.47 06/09/28,TD 5.491 09/08/28,28.271299570000004,15.672039139405408,12.599260430594596,2.766839123367991,100.0,C04575AE3,89117GX51
ATH 2.47 06/09/28,RY 4.632 05/01/28,32.047284340000004,21.170785432378377,10.876498907621627,2.7409282411230755,100.0,BP9499446,780086XL3
ATH 2.47 06/09/28,RY 4.632 05/01/28,32.047284340000004,21.170785432378377,10.876498907621627,2.7409282411230755,100.0,C04575AE3,780086XL3
ATH 2.47 06/09/28,BNS 4.68 02/01/29,27.927865780000005,13.336822171945947,14.591043608054058,2.736775933233056,100.0,BP9499446,064164QM1
ATH 2.47 06/09/28,BNS 4.68 02/01/29,27.927865780000005,13.336822171945947,14.591043608054058,2.736775933233056,100.0,C04575AE3,064164QM1
ATH 2.47 06/09/28,BCECN 4.55 02/09/30,3.208122010000011,-10.377567890378378,13.585689900378389,2.725392892536483,98.91891891891892,BP9499446,07813ZCL6
ATH 2.47 06/09/28,BCECN 4.55 02/09/30,3.208122010000011,-10.377567890378378,13.585689900378389,2.725392892536483,98.91891891891892,C04575AE3,07813ZCL6
ATH 2.47 06/09/28,NACN 5.023 02/01/29,27.830989270000003,13.274991732054055,14.555997537945949,2.7229355530801427,100.0,C04575AE3,63306AHT6
ATH 2.47 06/09/28,NACN 5.023 02/01/29,27.830989270000003,13.274991732054055,14.555997537945949,2.7229355530801427,100.0,BP9499446,63306AHT6
ATH 2.47 06/09/28,CNHI 4 04/11/28,7.012304960000009,-1.7849238454054053,8.797228805405414,2.717674350864335,100.0,C04575AE3,12658MAD3
ATH 2.47 06/09/28,CNHI 4 04/11/28,7.012304960000009,-1.7849238454054053,8.797228805405414,2.717674350864335,100.0,BP9499446,12658MAD3
ATH 2.47 06/09/28,BNS 3.836 09/26/30,16.712104370000006,3.755599253945945,12.95650511605406,2.7039247349806934,100.0,BP9499446,06418MM43
ATH 2.47 06/09/28,BNS 3.836 09/26/30,16.712104370000006,3.755599253945945,12.95650511605406,2.7039247349806934,100.0,C04575AE3,06418MM43
EDF 6.492 05/23/53,BNS 4.68 02/01/29,144.00103129000001,132.7381503937297,11.262880896270303,2.671931740741516,98.91891891891892,268317AX2,064164QM1
ATH 2.47 06/09/28,RLNCE 2.67 08/01/28,5.741642010000007,-8.66191241135135,14.403554421351357,2.6662648826046014,100.0,C04575AE3,759480AM8
ATH 2.47 06/09/28,RLNCE 2.67 08/01/28,5.741642010000007,-8.66191241135135,14.403554421351357,2.6662648826046014,100.0,BP9499446,759480AM8
ATH 2.47 06/09/28,BNS 3.734 06/27/31,11.072192830000006,-3.4772386516216205,14.549431481621626,2.661389870058769,100.0,BP9499446,06418YXB9
ATH 2.47 06/09/28,BNS 3.734 06/27/31,11.072192830000006,-3.4772386516216205,14.549431481621626,2.661389870058769,100.0,C04575AE3,06418YXB9
ATH 2.47 06/09/28,TCN 5  09/08/33,-32.04910774,-44.26697837724324,12.217870637243244,2.651393446646741,100.0,C04575AE3,87971MCC5
ATH 2.47 06/09/28,TCN 5  09/08/33,-32.04910774,-44.26697837724324,12.217870637243244,2.651393446646741,100.0,BP9499446,87971MCC5
ATH 2.47 06/09/28,SLFCN 5  07/04/35,-3.0141120799999896,-14.87230764572973,11.85819556572974,2.617303588118058,100.0,BP9499446,86682ZAT3
ATH 2.47 06/09/28,SLFCN 5  07/04/35,-3.0141120799999896,-14.87230764572973,11.85819556572974,2.617303588118058,100.0,C04575AE3,86682ZAT3
ATH 2.47 06/09/28,TD 4.002 10/31/30,15.748182530000008,3.2136475520000007,12.534534978000007,2.6000987811862344,99.45945945945947,C04575AE3,89116CST5
ATH 2.47 06/09/28,TD 4.002 10/31/30,15.748182530000008,3.2136475520000007,12.534534978000007,2.6000987811862344,99.45945945945947,BP9499446,89116CST5
EDF 5.777 05/17/54,BNS 4.68 02/01/29,141.59224611000002,130.81706156443244,10.775184545567583,2.59826699948074,95.67567567567568,268317BD5,064164QM1
EDF 6.492 05/23/53,NACN 5.023 02/01/29,143.90415478,132.67631995383783,11.227834826162166,2.582380877022073,97.2972972972973,268317AX2,63306AHT6
EDF 5.777 05/17/54,NACN 5.023 02/01/29,141.4953696,130.75523112454053,10.740138475459474,2.579043893010246,95.67567567567568,268317BD5,63306AHT6
WSPCN 4.12 09/12/29,RLNCE 5  05/15/31,-36.78731062999999,-43.304274116,6.516963486000009,2.526498198391851,100.0,92938WAC7,759480AN6
ATH 2.47 06/09/28,RY 4.829 08/08/34,-11.831845770000001,-28.025618801945946,16.193773031945945,2.517957607197121,100.0,BP9499446,7800867G3
ATH 2.47 06/09/28,RY 4.829 08/08/34,-11.831845770000001,-28.025618801945946,16.193773031945945,2.517957607197121,100.0,C04575AE3,7800867G3
