Bond_1,Bond_2,Last,Avg,vs Avg,Z Score,Percentile,cusip_1,cusip_2
TCN 4.95 03/28/33,TCN 6  07/21/55,-104.94821481,-129.2772694189189,24.32905460891891,1.8690773500747313,100.0,87971MCA9,87971MCJ0
TCN 5.1 02/15/34,TCN 6  07/21/55,-98.27632373,-122.96849717075675,24.692173440756747,1.863887370450624,100.0,87971MCG6,87971MCJ0
TOYOTA 4.33 01/24/28,TOYOTA 5.16 07/12/28,-0.09635377000000034,-3.53541096291892,3.4390571929189195,1.8621672407920613,96.75675675675676,892329BQ5,892329BT9
F 5.582 05/23/31,F 4.222 01/10/28,66.48657827,60.16309230043243,6.323485969567564,1.8496313627965226,97.83783783783784,34527ACX6,34527ADB3
CRRUCN 3.133 08/12/31,CRRUCN 5.139 03/29/30,16.08871803000001,11.353077432756756,4.735640597243254,1.8479392950990297,100.0,227107AS8,227107AU3
NACN 5.937 12/22/32,NACN 4.26 02/15/35,-26.85924985999999,-31.15671612064865,4.297466260648658,1.8401502184776006,97.2972972972973,136765BV5,63309ZNN4
CM 4.9 06/12/34,CM 4.15 04/02/35,-7.99219583,-10.751714981567568,2.7595191515675683,1.8388261563818709,98.91891891891892,13607PBA1,13607PG57
TCN 4.95 02/18/31,TCN 6  07/21/55,-122.60188658,-145.30480990605406,22.702923326054062,1.8232501379880512,100.0,87971MCF8,87971MCJ0
F 5.582 05/23/31,F 5.242 05/23/28,54.26913741000001,47.69765327686487,6.571484133135144,1.8106344826421519,92.97297297297298,34527ACX6,34527ACY4
BIP 5.439 04/25/34,BIP 5.789 04/25/52,-32.346167850000015,-35.94045992697297,3.5942920769729554,1.8073949907685771,95.67567567567568,11291ZAH0,11291ZAJ6
TCN 4.8 12/15/28,TCN 6  07/21/55,-146.32181774,-173.28972591805407,26.967908178054074,1.8069988489113216,100.0,87971MCE1,87971MCJ0
FTSCN 5.677 11/08/33,FTSCN 4.09 03/26/32,17.427227470000005,13.800617484864862,3.6266099851351434,1.7955629615410744,99.45945945945947,349553AR8,349553AT4
RCICN 5.7 09/21/28,RCICN 5  04/15/55,-151.17146158000003,-175.95887607156752,24.78741449156749,1.7904435077465672,100.0,775109CV1,775109CX7
RY 4.642 01/17/28,RY 4.632 05/01/28,-0.8441056200000006,-3.780821026,2.9367154059999994,1.7895399765129343,99.45945945945947,780086WG5,780086XL3
TCN 5.6 09/09/30,TCN 6  07/21/55,-127.67450943,-151.6873723454054,24.012862915405407,1.7863203717496599,100.0,87971MCB7,87971MCJ0
LCN 5.008 09/13/32,LCN 5.336 09/13/52,-45.26591032,-49.71107148416216,4.445161164162158,1.7847250358173534,100.0,539481AP6,539481AQ4
NACN 4.571 07/11/28,NACN 5.023 02/01/29,-11.775532420000005,-17.733693858756755,5.9581614387567505,1.7784324356334829,99.45945945945947,136765BY9,63306AHT6
TCN 5.95 09/08/53,TCN 6  07/21/55,-62.99971643000001,-87.62657906648649,24.62686263648648,1.7773764796531788,100.0,87971MCD3,87971MCJ0
ONT 2  12/02/31,ONT 4.15 06/02/34,-18.53154921,-20.681068819567564,2.1495196095675624,1.7702652700969543,98.37837837837839,68333ZAT4,68333ZBC0
TCN 4.65 08/13/31,TCN 6  07/21/55,-120.34701421,-142.2325404149189,21.885526204918904,1.7655441810968284,100.0,87971MCH4,87971MCJ0
BCECN 2.2 05/29/28,BCECN 5  03/27/55,-195.61160636,-210.6943176664324,15.082711306432401,1.7585540995034628,100.0,07813ZCJ1,078149DY4
TCN 5 09/13/29,TCN 6  07/21/55,-137.41750885,-162.60816005329727,25.19065120329728,1.7568072604459688,100.0,87971MBZ5,87971MCJ0
TCN 5.65 09/13/52,TCN 6  07/21/55,-63.11879816000001,-87.83054261497297,24.71174445497296,1.7531220223344173,100.0,87971MBY8,87971MCJ0
ENBCN 4.73 08/22/34,ENBCN 5.32 08/22/54,-30.875917540000003,-36.26120322389189,5.385285683891887,1.7526466776998981,99.45945945945947,29251ZCD7,29251ZCE5
CM 5.35 04/20/33,CM 4.15 04/02/35,-21.846575630000004,-24.240650060270276,2.3940744302702726,1.7448164713400063,98.91891891891892,13607LKJ1,13607PG57
CNRCN 4.4 05/10/33,CNRCN 4.7 05/10/53,-34.30507163,-36.443471328648656,2.138399698648655,1.744628929557529,100.0,136375DE9,136375DG4
TCN 4.95 03/28/33,TCN 4.65 08/13/31,15.398799400000001,12.955270996,2.443528404000002,1.737868136750764,95.67567567567568,87971MCA9,87971MCH4
