universe_name,holdings_name,Last,Avg,vs Avg,Z Score,Percentile,universe_cusip,holdings_cusip
RY 4.642 01/17/28,RY 3.626 12/10/28,-4.767967749999997,-7.62884891237838,2.8608811623783827,2.1385100659015945,98.64864864864865,780086WG5,779926FY5
RY 4.632 05/01/28,RY 4.829 08/08/34,-43.160210320000004,-48.90331179945947,5.743101479459469,1.6746357569464423,97.56756756756756,780086XL3,7800867G3
RY 4.632 05/01/28,BNS 4.68 02/01/29,-3.9540557799999974,-7.675069443891892,3.7210136638918945,1.6210659988315608,95.4054054054054,780086XL3,064164QM1
RY 4.642 01/17/28,TCN 5  09/08/33,-63.97329926,-69.00974426518918,5.0364450051891865,1.5968032181626504,99.72972972972973,780086WG5,87971MCC5
TD 4.002 10/31/30,RY 4.829 08/08/34,-27.842261320000006,-31.06865266610811,3.2263913461081053,1.5545420518621065,94.86486486486486,89116CST5,7800867G3
RY 4.642 01/17/28,RY 4.829 08/08/34,-45.16128925,-52.61498573605405,7.453696486054049,1.5545364450299348,93.24324324324324,780086WG5,7800867G3
RY 4.632 05/01/28,CCDJ 3.804 09/24/29,-8.910282680000002,-12.772521320972974,3.862238640972972,1.5315093662561639,97.56756756756756,780086XL3,31430W3J1
RY 4.632 05/01/28,BNS 3.734 06/27/31,-20.946035699999996,-24.496115881837834,3.5500801818378385,1.5308643701262252,91.08108108108108,780086XL3,06418YXB9
RY 4.642 01/17/28,BNS 4.68 02/01/29,-5.955134709999996,-11.386743380486486,5.43160867048649,1.5218702381386118,93.24324324324324,780086WG5,064164QM1
RY 4.642 01/17/28,BNS 3.836 09/26/30,-16.89557405,-21.02554139978379,4.12996734978379,1.5049191602259633,95.94594594594594,780086WG5,06418MM43
RY 4.642 01/17/28,BNS 3.734 06/27/31,-22.947114629999994,-28.207789818432435,5.26067518843244,1.5035333818111087,91.62162162162161,780086WG5,06418YXB9
RY 4.632 05/01/28,BNS 3.836 09/26/30,-14.894495120000002,-17.31386746318919,2.4193723431891883,1.4873735198292755,95.4054054054054,780086XL3,06418MM43
TD 5.491 09/08/28,RY 4.829 08/08/34,-40.155115890000005,-43.50825843637838,3.353142546378372,1.4859356725573403,91.08108108108108,89117GX51,7800867G3
RY 4.632 05/01/28,NACN 5.023 02/01/29,-4.287758029999999,-7.732143141189189,3.44438511118919,1.4673176587301662,95.4054054054054,780086XL3,63306AHT6
BNS 3.836 09/26/30,RY 4.829 08/08/34,-28.265715200000002,-31.589444336270272,3.32372913627027,1.437138285654252,94.86486486486486,06418MM43,7800867G3
RY 4.642 01/17/28,CCDJ 3.804 09/24/29,-10.91136161,-16.484195257567567,5.572833647567567,1.430063563801328,93.78378378378378,780086WG5,31430W3J1
RY 4.642 01/17/28,NACN 5.023 02/01/29,-6.288836959999998,-11.443817077783786,5.154980117783788,1.4190385718271235,92.7027027027027,780086WG5,63306AHT6
RY 4.632 05/01/28,TD 5.491 09/08/28,-3.0050944299999998,-5.3950533630810815,2.3899589330810818,1.412290113010459,98.64864864864865,780086XL3,89117GX51
RY 4.642 01/17/28,TD 4.002 10/31/30,-17.319027929999997,-21.546333069945945,4.227305139945948,1.4112152164933518,92.16216216216216,780086WG5,89116CST5
RY 4.632 05/01/28,TCN 5  09/08/33,-61.97222033,-65.29807032859459,3.3258499985945917,1.4091561756920752,92.7027027027027,780086XL3,87971MCC5
RY 4.632 05/01/28,TD 4.002 10/31/30,-15.317948999999999,-17.83465913335135,2.516710133351353,1.4064299637521391,96.48648648648648,780086XL3,89116CST5
RY 4.642 01/17/28,TD 5.491 09/08/28,-5.006173359999998,-9.106727299675677,4.100553939675679,1.3757137572792824,95.94594594594594,780086WG5,89117GX51
CCDJ 3.804 09/24/29,RY 4.829 08/08/34,-34.24992764,-36.13079047848649,1.880862838486486,1.2122654998473712,89.45945945945945,31430W3J1,7800867G3
HYDONE 4  01/04/35,TCN 5  09/08/33,-33.2470002,-39.507115582270266,6.260115382270264,1.2052099138378987,82.43243243243244,44810ZCS7,87971MCC5
BNS 4.68 02/01/29,RY 4.829 08/08/34,-39.20615454000001,-41.228242355567566,2.0220878155675592,1.1957965979262797,93.78378378378378,064164QM1,7800867G3
BNS 3.734 06/27/31,RY 4.829 08/08/34,-22.21417462000001,-24.40719591762162,2.1930212976216126,1.1903238731413726,88.91891891891892,06418YXB9,7800867G3
HYDONE 4  01/04/35,RY 4.829 08/08/34,-14.434990190000008,-23.11235705313513,8.677366863135124,1.131257605384977,72.70270270270271,44810ZCS7,7800867G3
BCECN 4.55 02/09/30,RY 4.829 08/08/34,-14.63297541,-17.499900604324324,2.866925194324324,1.0656843386181003,82.97297297297297,07813ZCL6,7800867G3
RY 3.626 12/10/28,RY 4.829 08/08/34,-40.393321500000006,-44.98613682367568,4.592815323675673,1.058287553933345,90.0,779926FY5,7800867G3
TD 5.491 09/08/28,CCDJ 3.804 09/24/29,-5.905188250000002,-7.377467957891891,1.4722797078918894,1.0500733706792316,83.51351351351352,89117GX51,31430W3J1
HYDONE 4  01/04/35,BNS 4.68 02/01/29,24.77116435,18.115885302432435,6.655279047567564,1.037119181709609,72.16216216216216,44810ZCS7,064164QM1
RY 4.642 01/17/28,RY 4.632 05/01/28,-2.0010789299999985,-3.711673936594595,1.7105950065945965,1.0308919984003329,87.83783783783784,780086WG5,780086XL3
HYDONE 4  01/04/35,BNS 3.734 06/27/31,7.779184430000001,1.2948388644864874,6.484345565513514,1.0072141717333527,72.16216216216216,44810ZCS7,06418YXB9
TD 5.491 09/08/28,BNS 4.68 02/01/29,-0.9489613499999976,-2.2800160808108108,1.3310547308108132,0.9995056340633096,82.43243243243244,89117GX51,064164QM1
TD 4.002 10/31/30,BNS 4.68 02/01/29,11.363893220000001,10.159589689459459,1.2043035305405425,0.995994016062888,87.29729729729729,89116CST5,064164QM1
HYDONE 4  01/04/35,NACN 5.023 02/01/29,24.437462099999998,18.058811605135134,6.378650494864864,0.9850658297539026,72.16216216216216,44810ZCS7,63306AHT6
HYDONE 4  01/04/35,CCDJ 3.804 09/24/29,19.814937449999995,13.01843342535135,6.796504024648645,0.9797787139717526,72.16216216216216,44810ZCS7,31430W3J1
BNS 3.836 09/26/30,BNS 4.68 02/01/29,10.940439340000005,9.638798019297298,1.301641320702707,0.9312619030444841,85.67567567567568,06418MM43,064164QM1
HYDONE 4  01/04/35,BNS 3.836 09/26/30,13.830725009999995,8.477087283135134,5.353637726864861,0.9309590086239459,71.62162162162163,44810ZCS7,06418MM43
HYDONE 4  01/04/35,TD 4.002 10/31/30,13.407271129999998,7.956295612972974,5.450975517027024,0.9269124915085744,71.62162162162163,44810ZCS7,89116CST5
HYDONE 4  01/04/35,RY 3.626 12/10/28,25.95833131,21.87377977054054,4.084551539459458,0.9076298128030821,73.24324324324324,44810ZCS7,779926FY5
TD 4.002 10/31/30,CCDJ 3.804 09/24/29,6.407666319999997,5.062137812378379,1.3455285076216184,0.9043496820888423,84.5945945945946,89116CST5,31430W3J1
HYDONE 4  01/04/35,TD 5.491 09/08/28,25.720125699999997,20.395901383243242,5.324224316756755,0.9022567825183596,68.91891891891892,44810ZCS7,89117GX51
BNS 3.836 09/26/30,CCDJ 3.804 09/24/29,5.98421244,4.541346142216217,1.442866297783783,0.8619855217457072,84.05405405405405,06418MM43,31430W3J1
BNS 3.836 09/26/30,BNS 3.734 06/27/31,-6.051540579999994,-7.182248418648647,1.1307078386486529,0.8618019760641576,83.51351351351352,06418MM43,06418YXB9
TD 5.491 09/08/28,NACN 5.023 02/01/29,-1.2826635999999993,-2.3370897781081075,1.0544261781081081,0.8483846826036991,80.8108108108108,89117GX51,63306AHT6
TD 4.002 10/31/30,NACN 5.023 02/01/29,11.03019097,10.102515992162163,0.927674977837837,0.8375351540636461,79.1891891891892,89116CST5,63306AHT6
RY 4.632 05/01/28,RY 3.626 12/10/28,-2.7668888199999984,-3.917174975783784,1.1502861557837858,0.8102821705319728,79.1891891891892,780086XL3,779926FY5
TD 4.002 10/31/30,BNS 3.734 06/27/31,-5.628086699999997,-6.661456748486486,1.0333700484864892,0.8018415108979536,77.56756756756756,89116CST5,06418YXB9
TCN 5  09/08/33,RY 4.829 08/08/34,18.812010009999995,16.394758529135135,2.4172514808648593,0.7991049201433785,72.16216216216216,87971MCC5,7800867G3
RY 3.626 12/10/28,BNS 4.68 02/01/29,-1.187166959999999,-3.7578944681081086,2.5707275081081096,0.7869255416396875,81.89189189189189,779926FY5,064164QM1
RY 3.626 12/10/28,BNS 3.734 06/27/31,-18.179146879999998,-20.578940906054054,2.3997940260540567,0.782936930607104,78.10810810810811,779926FY5,06418YXB9
TD 5.491 09/08/28,BNS 3.734 06/27/31,-17.940941269999996,-19.101062518756756,1.1601212487567594,0.7791088639660554,80.8108108108108,89117GX51,06418YXB9
RY 3.626 12/10/28,CCDJ 3.804 09/24/29,-6.143393860000003,-8.85534634518919,2.7119524851891867,0.7648006820127392,77.02702702702703,779926FY5,31430W3J1
BNS 3.836 09/26/30,NACN 5.023 02/01/29,10.606737090000003,9.581724322000001,1.0250127680000016,0.7404044987794032,73.24324324324324,06418MM43,63306AHT6
