universe_name,holdings_name,Last,Avg,vs Avg,Z Score,Percentile,universe_cusip,holdings_cusip
WSPCN 4.754 09/12/34,PPLCN 3.53 12/10/31,27.432049989999996,19.04941493735135,8.382635052648645,2.3933393635072298,99.72972972972973,92938WAD5,70632ZAS0
WSPCN 4.754 09/12/34,BMO 4.077 03/05/35,14.734096770000008,5.653840950270269,9.08025581972974,2.145552564366887,99.72972972972973,92938WAD5,06369ZCL6
WSPCN 4.754 09/12/34,GILCN 4.149 11/22/30,16.26942665,8.507755851621623,7.761670798378377,2.1401688230213782,99.72972972972973,92938WAD5,375916AE3
RY 4.642 01/17/28,RY 3.626 12/10/28,-4.767967749999997,-7.62884891237838,2.8608811623783827,2.1385100659015945,98.64864864864865,780086WG5,779926FY5
WSPCN 4.754 09/12/34,RLNCE 5  05/15/31,5.553574429999998,-1.2591961674594605,6.812770597459458,2.123218106357392,99.72972972972973,92938WAD5,759480AN6
WSPCN 4.754 09/12/34,RY 4.829 08/08/34,23.134368519999995,15.98054401535135,7.153824504648645,1.8357133599558966,97.02702702702702,92938WAD5,7800867G3
PLD 5  01/15/31,PPLCN 3.53 12/10/31,-12.25378520000001,-19.31700194124324,7.063216741243231,1.728601051641027,91.08108108108108,74340XCD1,70632ZAS0
DOLCN 5.165 04/26/30,RLNCE 5  05/15/31,-41.25977424,-47.030177486864865,5.770403246864866,1.713188470250569,99.1891891891892,25675TAP2,759480AN6
RY 4.632 05/01/28,RY 4.829 08/08/34,-43.160210320000004,-48.90331179945947,5.743101479459469,1.6746357569464423,97.56756756756756,780086XL3,7800867G3
BIP 5.71 07/27/30,GILCN 4.149 11/22/30,-11.309317640000003,-16.100366336432433,4.79104869643243,1.670923733049651,91.62162162162161,11291ZAM9,375916AE3
PLD 5  01/15/31,GILCN 4.149 11/22/30,-23.416408540000006,-29.85866102697297,6.442252486972965,1.6654584353084785,95.4054054054054,74340XCD1,375916AE3
PLD 5  01/15/31,BMO 4.077 03/05/35,-24.951738419999998,-32.71257592832432,7.760837508324322,1.6417963796258352,91.62162162162161,74340XCD1,06369ZCL6
DOLCN 5.165 04/26/30,GILCN 4.149 11/22/30,-30.543922019999997,-37.26322546778378,6.719303447783787,1.6245579220091484,98.1081081081081,25675TAP2,375916AE3
RY 4.632 05/01/28,BNS 4.68 02/01/29,-3.9540557799999974,-7.675069443891892,3.7210136638918945,1.6210659988315608,95.4054054054054,780086XL3,064164QM1
BIP 5.71 07/27/30,RLNCE 5  05/15/31,-22.025169860000005,-25.867318355513518,3.842148495513513,1.6111667488142447,92.7027027027027,11291ZAM9,759480AN6
RY 4.642 01/17/28,TCN 5  09/08/33,-63.97329926,-69.00974426518918,5.0364450051891865,1.5968032181626504,99.72972972972973,780086WG5,87971MCC5
RY 4.632 05/01/28,GILCN 4.149 11/22/30,-50.02515219,-56.3760999631892,6.350947773189198,1.563124609512798,98.1081081081081,780086XL3,375916AE3
TD 4.002 10/31/30,RY 4.829 08/08/34,-27.842261320000006,-31.06865266610811,3.2263913461081053,1.5545420518621065,94.86486486486486,89116CST5,7800867G3
RY 4.642 01/17/28,RY 4.829 08/08/34,-45.16128925,-52.61498573605405,7.453696486054049,1.5545364450299348,93.24324324324324,780086WG5,7800867G3
SLFCN 5  07/04/35,GILCN 4.149 11/22/30,-15.802426229999995,-20.60602978924324,4.803603559243246,1.5416045349772889,89.45945945945945,86682ZAT3,375916AE3
RY 4.632 05/01/28,CCDJ 3.804 09/24/29,-8.910282680000002,-12.772521320972974,3.862238640972972,1.5315093662561639,97.56756756756756,780086XL3,31430W3J1
RY 4.632 05/01/28,BNS 3.734 06/27/31,-20.946035699999996,-24.496115881837834,3.5500801818378385,1.5308643701262252,91.08108108108108,780086XL3,06418YXB9
RY 4.642 01/17/28,GILCN 4.149 11/22/30,-52.02623112,-60.08777389978379,8.061542779783792,1.5288210892456426,97.02702702702702,780086WG5,375916AE3
DOLCN 5.165 04/26/30,PPLCN 3.53 12/10/31,-19.38129868,-26.721566382054053,7.340267702054053,1.5248312056757143,95.4054054054054,25675TAP2,70632ZAS0
RY 4.642 01/17/28,BNS 4.68 02/01/29,-5.955134709999996,-11.386743380486486,5.43160867048649,1.5218702381386118,93.24324324324324,780086WG5,064164QM1
RY 4.642 01/17/28,BNS 3.836 09/26/30,-16.89557405,-21.02554139978379,4.12996734978379,1.5049191602259633,95.94594594594594,780086WG5,06418MM43
RY 4.642 01/17/28,BNS 3.734 06/27/31,-22.947114629999994,-28.207789818432435,5.26067518843244,1.5035333818111087,91.62162162162161,780086WG5,06418YXB9
PLD 5  01/15/31,RLNCE 5  05/15/31,-34.13226076000001,-39.62561304605405,5.493352286054041,1.5033097571756928,97.02702702702702,74340XCD1,759480AN6
BIP 5.71 07/27/30,RY 4.829 08/08/34,-4.444375770000008,-8.627578172702703,4.183202402702696,1.5031380489842496,90.54054054054053,11291ZAM9,7800867G3
RY 4.632 05/01/28,BNS 3.836 09/26/30,-14.894495120000002,-17.31386746318919,2.4193723431891883,1.4873735198292755,95.4054054054054,780086XL3,06418MM43
TD 5.491 09/08/28,RY 4.829 08/08/34,-40.155115890000005,-43.50825843637838,3.353142546378372,1.4859356725573403,91.08108108108108,89117GX51,7800867G3
RY 4.632 05/01/28,NACN 5.023 02/01/29,-4.287758029999999,-7.732143141189189,3.44438511118919,1.4673176587301662,95.4054054054054,780086XL3,63306AHT6
