CUSIP,Security,Bid Workout Risk,Tight Bid >3mm,Wide Offer >3mm,Bid/Offer>3mm,Tight Bid,Wide Offer,Bid/Offer,Dealer @ Tight Bid >3mm,Dealer @ Wide Offer >3mm,Dealer @ Tight T-1,Dealer @ Wide T-1,Size @ Tight Bid >3mm,Size @ Wide Offer >3mm,CR01 @ Tight Bid,CR01 @ Wide Offer,Cumm. Bid Size,Cumm. Offer Size,# of Bids >3mm,# of Offers >3mm,# Quotes,Bid RBC,Ask RBC,Bid Size RBC,Offer Size RBC,DoD Chg Tight Bid >3mm,DoD Chg Wide Offer >3mm,DoD Chg Tight Bid,DoD Chg Wide Offer,DoD Chg Size @ Tight Bid >3mm,DoD Chg Size @ Wide Offer >3mm,DoD Chg CR01 @ Tight Bid,DoD Chg CR01 @ Wide Offer,DoD Chg Cumm. Bid Size,DoD Chg Cumm. Offer Size,DoD Chg # of Bids >3mm,DoD Chg # of Offers >3mm,DoD Chg Bid RBC,DoD Chg Ask RBC,DoD Chg Bid Size RBC,DoD Chg Offer Size RBC,MTD Chg Tight Bid >3mm,MTD Chg Wide Offer >3mm,MTD Chg Tight Bid,MTD Chg Wide Offer,MTD Chg Size @ Tight Bid >3mm,MTD Chg Size @ Wide Offer >3mm,MTD Chg CR01 @ Tight Bid,MTD Chg CR01 @ Wide Offer,MTD Chg Cumm. Bid Size,MTD Chg Cumm. Offer Size,MTD Chg # of Bids >3mm,MTD Chg # of Offers >3mm,MTD Chg Bid RBC,MTD Chg Ask RBC,MTD Chg Bid Size RBC,MTD Chg Offer Size RBC,YTD Chg Tight Bid >3mm,YTD Chg Wide Offer >3mm,YTD Chg Tight Bid,YTD Chg Wide Offer,YTD Chg Size @ Tight Bid >3mm,YTD Chg Size @ Wide Offer >3mm,YTD Chg CR01 @ Tight Bid,YTD Chg CR01 @ Wide Offer,YTD Chg Cumm. Bid Size,YTD Chg Cumm. Offer Size,YTD Chg # of Bids >3mm,YTD Chg # of Offers >3mm,YTD Chg Bid RBC,YTD Chg Ask RBC,YTD Chg Bid Size RBC,YTD Chg Offer Size RBC,Custom Date Chg Tight Bid >3mm,Custom Date Chg Wide Offer >3mm,Custom Date Chg Tight Bid,Custom Date Chg Wide Offer,Custom Date Chg Size @ Tight Bid >3mm,Custom Date Chg Size @ Wide Offer >3mm,Custom Date Chg CR01 @ Tight Bid,Custom Date Chg CR01 @ Wide Offer,Custom Date Chg Cumm. Bid Size,Custom Date Chg Cumm. Offer Size,Custom Date Chg # of Bids >3mm,Custom Date Chg # of Offers >3mm,Custom Date Chg Bid RBC,Custom Date Chg Ask RBC,Custom Date Chg Bid Size RBC,Custom Date Chg Offer Size RBC,QUANTITY,POSITION CR01,G Sprd,Yrs (Cvn),vs BI,vs BCE,MTD Equity,YTD Equity,Retracement,Yrs Since Issue,Z Score,Retracement2,Rating,Custom_Sector
078149DY4,BCECN 5 5/8 03/27/55,3.716666666666667,221.0,215.5,5.5,221.0,215.5,5.5,TD,TD,TD,NBF,5000000.0,5000000.0,1858.3333333333335,1858.3333333333335,13000000.0,12000000.0,2,2,3,,,,,2.4000000000000057,1.5,4.0,1.5,0.0,0.0,-0.41666666666674246,-0.41666666666674246,-10000000.0,-3000000.0,-1.0,0.0,,,,,-10.5,-4.5,-6.0,-10.5,0.0,0.0,-21.666666666666515,-21.666666666666515,-10000000.0,1000000.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.19974161,4.098562628336755,161.47706624187526,136.5460660685217,0.9669293,2.823002,0.33805888767720815,0.6516084873374401,-1.3940426294380874,86.72396963181164,BB+,Non Financial Hybrids
098546AC8,BNECN 10 1/2 01/28/30,2.67,,,,753.43,726.0,27.42999999999995,,,,,,,,,0.0,0.0,0,0,2,,,,,,,1.3700000000000045,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,2.169999999999959,6.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.74096659,3.186858316221766,691.2124696696603,670.8753337233057,1.104978,-2.917769,0.75,0.810403832991102,-0.6959071622020226,39.86746274958875,NR,HY
103310AB4,BYDCN 5 3/4 09/04/33,4.175,,,,249.07,253.0,-3.930000000000007,,,,,,,,,4000000.0,4000000.0,0,0,2,,,,,,,7.069999999999993,-3.0,,,,,-2000.0,0.0,0.0,0.0,,,,,,,-3.930000000000007,10.0,,,,,-1000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.36341388,4.785763175906913,202.4709190124665,173.72312016281165,-3.807525,-0.3818921,0.4942811895125814,0.2108145106091718,0.0163094477913098,52.00494630804672,NR,HY
10549PAJ0,BNCN 5.95 06/14/35,,,,,135.0,127.0,8.0,,,,,,,,,5000000.0,3000000.0,0,0,4,,,,,,,0.0,-11.0,,,,,-1000000.0,0.0,0.0,0.0,,,,,,,1.0,-8.0,,,,,-3000000.0,1000000.0,-1.0,0.0,,,,,,,-7.0,-23.0,,,,,-4000000.0,3000000.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,123.89644896,9.560574948665298,40.471101376136346,2.055143284666361,-4.629197,12.36197,0.7795596629518889,20.435318275154003,-1.2683670815326082,65.40041170985866,A-,Asset Manager
10549PAJ0,BNCN 5.95 06/14/35,,,,,127.0,112.0,15.0,,,,,,,,,2000000.0,0.0,0,0,4,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,2.0,2.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.89644896,9.560574948665298,40.471101376136346,2.055143284666361,-4.629197,12.36197,0.7795596629518889,20.435318275154003,-1.2683670815326082,65.40041170985866,A-,Asset Manager
10549PAJ0,BNCN 5.95 06/14/35,8.19,,,,135.0,128.0,7.0,,,,,,,,,3000000.0,0.0,0,0,4,,,,,,,1.0,1.0,,,,,0.0,0.0,0.0,0.0,,,,,,,2.0,2.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.89644896,9.560574948665298,40.471101376136346,2.055143284666361,-4.629197,12.36197,0.7795596629518889,20.435318275154003,-1.2683670815326082,65.40041170985866,A-,Asset Manager
110574AH3,BCFERR 4.702 10/23/43,11.957500000000001,106.0,,,104.0,104.0,0.0,RBC,,,,5000000.0,,5978.750000000001,,12000000.0,0.0,1,0,4,106.0,101.0,5000000.0,0.0,,,1.0,0.0,,,,,3000000.0,0.0,1.0,0.0,,,,,2.0,,2.0,-1.0,0.0,,10.750000000001819,,-2000000.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,-15.0,-14.0,,,,,1000000.0,-5000000.0,1.0,0.0,-14.0,-14.0,2000000.0,0.0,,,,,,,,,,,,,,,,,,,119.78393362,17.919233401779604,,-30.213275963567288,,,,12.071184120465434,-1.300015390087409,80.56558838413565,A+,Infrastructure
110574AJ9,BCFERR 4.289 04/28/44,11.76,106.0,,,106.0,104.0,2.0,RBC,,NBF,,5000000.0,,5880.0,,11000000.0,0.0,1,0,4,106.0,101.0,5000000.0,0.0,0.0,,1.0,0.0,0.0,,21.25,,0.0,0.0,0.0,0.0,,,,,2.0,,2.0,-1.0,0.0,,-72.99999999999909,,-5000000.0,0.0,-1.0,0.0,2.0,2.0,0.0,0.0,-14.0,,-13.0,-14.0,0.0,,-399.0000000000009,,-2000000.0,-5000000.0,0.0,0.0,-14.0,-14.0,2000000.0,0.0,,,,,,,,,,,,,,,,,,,118.90345846,18.43394934976044,,-34.63616697734979,,,,11.564681724845997,-1.3470756339204673,81.73035111290666,A+,Infrastructure
110574AK6,BCFERR 2.794 10/15/49,11.475,106.0,,,106.0,105.0,1.0,RBC,,NBF,,5000000.0,,5737.5,,12000000.0,0.0,1,0,4,106.0,101.0,5000000.0,0.0,-3.0,,-3.0,1.0,0.0,,35.0,,0.0,0.0,0.0,0.0,,,,,2.0,,2.0,0.0,0.0,,-89.5,,-5000000.0,-3000000.0,-1.0,0.0,2.0,2.0,0.0,0.0,-13.0,,-13.0,-12.0,0.0,,-382.5,,-4000000.0,-3000000.0,-1.0,0.0,-13.0,-13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,110.93974698,23.89869952087611,,-47.71404833787551,,,,6.099931553730322,-1.502003755634995,64.84051776219485,A+,Infrastructure
11257ZAE9,BNCN 4.82 01/28/26,0.08,42.0,,,42.0,51.0,-9.0,NBF,,NBF,,5000000.0,,40.0,,10000000.0,0.0,2,0,5,56.0,51.0,5000000.0,0.0,0.0,,0.0,14.0,0.0,,-5.0,,5000000.0,0.0,1.0,0.0,,,,,4.0,,4.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.51204083,0.0793976728268309,-17.907903360960198,-39.773704185192486,-4.629197,12.36197,0.7795596629518889,11.811088295687885,-0.5839292740938911,34.55970244669268,A-,Asset Manager
